type,name,cached_count
Character,Jung Soojung | Krystal,855
Freeform,Blankets,855
Relationship,pepperony,855
Freeform,oh my fucking heart,855
Character,Pit (Kid Icarus),855
Character,Matt Daehler,855
Freeform,Day 2,855
Freeform,Because yes,855
Freeform,Protective Bruce Wayne,855
Character,TARDIS,854
Character,Les Jacobs,854
Freeform,Ancient Rome,854
Character,Finnian (Kuroshitsuji),854
Freeform,injured,854
Freeform,Epilepsy,854
Freeform,Alternate Universe - Aliens,854
Relationship,Donna Paulsen/Harvey Specter,854
Freeform,Hannibal AU,854
Character,Team JNPR,854
Relationship,Draco Malfoy/Reader,854
Freeform,Pick-Up Lines,854
Freeform,Meddling,853
Character,Grunt (Mass Effect),853
Fandom,Romeo And Juliet - All Media Types,853
Character,Nogitsune (Teen Wolf),853
Freeform,Lord of the Rings,852
Character,Tobias Beecher,852
Relationship,Elena Gilbert/Stefan Salvatore,852
Character,B. J. Hunnicutt,852
Relationship,tomione,852
Character,Jim Halpert,851
Freeform,Porn Video,851
Freeform,Phone Calls,851
Relationship,Riza Hawkeye & Roy Mustang,851
Freeform,Destruction,851
Freeform,4.5/5,851
Fandom,Quantum Leap,850
Relationship,Draco Malfoy/Severus Snape,850
Character,Sam Hanna,850
Freeform,Glitter,850
Character,Sakuraba Neku,850
Character,Lysa Tully Arryn,850
Freeform,angsty fluff,850
Freeform,of course,850
Fandom,The Voice (US) RPF,850
Character,Meg Turney,850
Relationship,Rory Gilmore/Jess Mariano,849
Freeform,Beer,849
Character,Skwisgaar Skwigelf,849
Freeform,non con,849
Freeform,Irony,849
Character,Pickles the Drummer,849
Character,Party Poison,849
Character,Miko Nakadai,849
Freeform,why did I write this,849
Freeform,honestly,849
Freeform,Fox Stiles,849
Character,Original Winchester Character(s),849
Character,Ben Grimm,848
Freeform,Los Angeles,848
Freeform,past relationship,848
Freeform,Bloodlust,848
Character,Dracule Mihawk,848
Freeform,Complete AU,848
Character,Josie McCoy,848
Freeform,Dragon AU,848
Freeform,i cry,848
Freeform,over 100k,848
Character,Dean Smith,847
Character,Fernando Alonso,847
Freeform,Christmas Special,847
Fandom,Teen Wolf (TV) RPF,847
Relationship,Chris Argent/Stiles Stilinski,847
Freeform,Accidental Cuddling,847
Freeform,Pack Mother Stiles Stilinski,847
Character,Todd Anderson,846
Relationship,Zack Fair/Aerith Gainsborough,846
Freeform,Lolicon,846
Freeform,Found Families,846
Freeform,#Smut,846
Freeform,cuuute,846
Freeform,Sam Winchester Ships Castiel/Dean Winchester,846
Freeform,Medium Burn,846
Relationship,Levi & Erwin Smith,846
Character,Karl Urban,845
Character,Brian Littrell,845
Character,Justin Finch-Fletchley,845
Relationship,Teddy Lupin/Victoire Weasley,845
Freeform,1990s,845
Freeform,G/T,845
Fandom,High School Musical (Movies),845
Relationship,Maria Hill/Steve Rogers,845
Freeform,Steve Needs a Hug,845
Freeform,you'll see - Freeform,845
Freeform,Oblivious Steve Rogers,845
Freeform,Harry Potter References,845
Fandom,Testing,844
Character,Kuran Kaname,844
Character,Blurr (Transformers),844
Freeform,Orcs,844
Freeform,slightly AU,844
Freeform,destiel au,844
Freeform,Alternate Universe - No Sburb/Sgrub Sessions,844
Character,Nikandros (Captive Prince),844
Relationship,HP/SS,843
Freeform,Cemetery,843
Character,Anora Mac Tir,843
Freeform,Dwarves,843
Freeform,Alternate Universe - Mutants,843
Freeform,BAMF!John,843
Freeform,Tiny bit of Angst,843
Freeform,Order of the Phoenix (Harry Potter),843
Freeform,Nude Modeling,843
Fandom,Superboy (Comics),843
Freeform,Nobody is Dead,843
Character,Yukine (Noragami),843
Freeform,Cockblocking,842
Character,Leon (Kingdom Hearts),842
Freeform,Sentinel/Guide Bonding,842
Freeform,Nephilim,842
Relationship,Clint Barton/Loki,842
Freeform,Podfic Length: 1.5-2 Hours,842
Freeform,Romantic Tension,842
Relationship,Wu Yi Fan | Kris/Zhang Yi Xing | Lay,842
Relationship,Noiz/Seragaki Aoba,842
Character,Ezekiel | Gadreel,842
Freeform,Obliviousness,841
Character,Hyuuga Hiashi,841
Freeform,Phoenixes,841
Freeform,Somewhat,841
Freeform,thats it,841
Freeform,a lire,841
Relationship,Hatake Kakashi/Yamato | Tenzou,841
Character,Heather Chandler (Heathers),841
Character,Bert McCracken,840
Freeform,blindfold,840
Character,Kino Makoto,840
Freeform,idol,840
Character,Female Surana,840
Freeform,Japanese Culture,840
Relationship,"Merriell ""Snafu"" Shelton/Eugene Sledge",840
Character,The Avengers - Character,840
Relationship,Haruno Sakura & Uchiha Sasuke & Uzumaki Naruto,840
Freeform,a lot of fluff,840
Freeform,20000,840
Relationship,enjoltaire,840
Freeform,Heroes to Villains,840
Freeform,whouffaldi,840
Relationship,n/a,839
Relationship,Shindou Hikaru/Touya Akira,839
Freeform,FTM,839
Character,Saito (Inception),839
Character,Donald Trump,839
Character,Hikari | Dawn,839
Freeform,Step-parents,839
Character,Adam Jensen,839
Freeform,like seriously,839
Freeform,Masturbation Interruptus,839
Freeform,Alternate Universe - No Band,839
Character,Matthew Brown (Hannibal),839
Character,Hojo (Compilation of FFVII),838
Freeform,Pop Culture,838
Freeform,Podcast,838
Character,Mey-Rin (Kuroshitsuji),838
Character,Rhys Williams,837
Freeform,figure skating,837
Character,Saotome Ranma,837
Character,Ferb Fletcher,837
Freeform,Scotland,837
Freeform,Racist Language,837
Freeform,New Beginnings,837
Relationship,Athelstan/Ragnar Lothbrok,837
Relationship,Laxus Dreyar/Freed Justine,837
Character,Addison Montgomery,836
Relationship,Hermione Granger/Ginny Weasley,836
Character,Robin Hood,836
Character,Haku (Naruto),836
Freeform,Portraits,836
Relationship,Crowley/Bobby Singer,836
Character,Paul Blofis,836
Freeform,Incest Kink,836
Fandom,The Losers - All Media Types,836
Relationship,Kaiou Michiru/Tenoh Haruka,836
Freeform,Power Exchange,836
Character,Lee Howon | Hoya,836
Relationship,Clark Kent & Bruce Wayne,836
Freeform,repeat,836
Fandom,Pentatonix,836
Freeform,Alternate Universe - Real World,835
Freeform,Band,835
Relationship,Charlie Bradbury/Jo Harvelle,835
Freeform,PDA,835
Freeform,Human Stiles,835
Freeform,Quiet,834
Character,Matt Bellamy,834
Fandom,Guns N' Roses,834
Relationship,Karolina Dean/Nico Minoru,834
Freeform,fluff!,834
Freeform,Shadowhunters - Freeform,834
Character,Piers Nivans,834
Relationship,Kate Fuller/Seth Gecko,834
Freeform,Young Dean Winchester,834
Freeform,Alternate Universe - Pokemon Fusion,834
Freeform,Angst with a Hopeful Ending,834
Character,namjoon,834
Fandom,Beauty and the Beast - All Media Types,833
Character,Silver the Hedgehog,833
Freeform,Maids,833
Freeform,Tony Needs a Hug,833
Freeform,Dick Pics,833
Relationship,Arya Stark & Sansa Stark,833
Character,Ren (DRAMAtical Murder),833
Character,Cory Matthews,832
Freeform,five things,832
Freeform,Jewelry,832
Relationship,Wolfram von Bielefeld/Shibuya Yuuri,832
Freeform,FBI,832
Relationship,"James ""Bucky"" Barnes/Peter Parker",832
Fandom,The White Queen (TV),832
Character,Charles Vane,832
Relationship,Tony Stark/Steve Rogers,831
Character,Nicholas Rush,831
Freeform,BFFs,831
Freeform,Major Spoilers,831
Freeform,Alternate Universe - Animals,831
Relationship,Edward Elric & Roy Mustang,831
Freeform,Flawless,831
Character,Samantha Traynor,831
Relationship,Daniel LaRusso/Johnny Lawrence,831
Freeform,fem!Bilbo,831
Freeform,Oblivious Harry,831
Freeform,Creature Inheritance,831
Freeform,jimon,831
Character,Sucy Manbavaran,831
Character,Neymar,831
Character,Michimiya Yui,831
Character,Riley Finn,830
Character,Lara Croft,830
Freeform,Food Play,830
Freeform,Life - Freeform,830
Freeform,Finally,830
Freeform,Coffeeshop AU,830
Fandom,Destiny (Video Game),830
Freeform,Spark Stiles,830
Character,Nile Dok,830
Fandom,Sherlock Holmes (1984 TV),829
Freeform,Night,829
Freeform,Bad Days,829
Freeform,Meditation,829
Character,Dom Howard,829
Relationship,Female Hawke/Isabela,829
Freeform,Oh my heart,829
Freeform,hot hot hot,829
Relationship,John Sheppard/Rodney McKay,828
Relationship,Rupert Giles/Buffy Summers,828
Character,Catwoman,828
Freeform,Crack Pairing,828
Freeform,Sexytimes,828
Freeform,unhealthy relationship,828
Freeform,Professors,828
Character,Aro (Twilight),828
Freeform,listen,828
Freeform,Chapter 11,828
Freeform,yet to read,828
Character,Mink (DRAMAtical Murder),828
Freeform,Safer Sex,827
Character,Terry McGinnis,827
Fandom,Girl Genius,827
Freeform,Sticky,827
Freeform,Middle Ages,827
Freeform,Ancient History,827
Relationship,Lionel Messi/Cristiano Ronaldo,827
Fandom,Pokemon Mystery Dungeon,827
Freeform,Creepypasta,827
Freeform,Bank Robbery,827
Character,Gareth Mallory,827
Relationship,Roy Harper/Thea Queen,827
Freeform,( ͡° ͜ʖ ͡°),827
Character,Piotr Rasputin,826
Character,Gemini Saga,826
Freeform,Parallels,826
Character,Dog (Dragon Age),826
Freeform,Water Sex,826
Freeform,mild body horror,826
Freeform,For Me,825
Character,Robert Downey Jr.,825
Relationship,Lavender Brown/Ron Weasley,825
Character,Flynn Carsen,825
Freeform,Post Game,825
Freeform,Wish Fulfillment,825
Freeform,sg,825
Freeform,Mindbreak,825
Freeform,again!,825
Fandom,Hemlock Grove,825
Character,Derek Shepherd,824
Relationship,Tony Stark/Pepper Potts,824
Fandom,Newsies,824
Freeform,Warlocks,824
Character,Valerie Gray,824
Freeform,Dreaming,824
Freeform,Multiple Endings,824
Character,The Machine (Person of Interest),824
Freeform,Partial Mind Control,824
Freeform,Fem!Harry,824
Freeform,post-episode,823
Character,Lionel Luthor,823
Character,Simon,823
Freeform,Early Days,823
Character,Chell (Portal),823
Freeform,To save,823
Freeform,Post-Graduation,823
Relationship,Scisaac,823
Freeform,Infinity Gems,823
Character,Dean O'Gorman,823
Relationship,Thirteenth Doctor/River Song,823
Fandom,The Incredible Hulk - All Media Types,823
Relationship,James/Lily,822
Relationship,Marcus Flint/Oliver Wood,822
Freeform,Alternate Universe - 1940s,822
Freeform,Everyone Is Poly Because Avengers,822
Freeform,plot heavy,822
Relationship,Charles/Erik,821
Fandom,Archie Comics & Related Fandoms,821
Character,Patrick Hockstetter,821
Freeform,One Word Prompts,821
Character,Satoshi's Pikachu | Ash Ketchum's Pikachu,821
Freeform,Fairy Tale Curses,821
Freeform,Implied/Referenced Suicide attempt,821
Character,Cain (Supernatural),821
Character,Ethan Rayne,820
Character,Steven Gerrard,820
Freeform,S1,820
Character,Zero (Rockman),820
Character,Ross Poldark,820
Fandom,Loveless,819
Character,Lincoln Burrows,819
Character,More,819
Character,Order of the Phoenix,819
Freeform,Hurt Clint Barton,819
Freeform,hurtcomfort,819
Relationship,Daniel Jackson/Vala Mal Doran,818
Character,Loz,818
Character,Korra,818
Relationship,Jorah Mormont/Daenerys Targaryen,818
Freeform,Yelling,818
Freeform,Sleepy Boys,818
Character,Tom Welling,817
Fandom,Taylor Swift (Musician),817
Fandom,Cats - Andrew Lloyd Webber,817
Freeform,Digital Painting,817
Character,Anime/Manga,817
Fandom,The Little Mermaid (1989),817
Freeform,Spanish Translation,817
Relationship,Duncan MacLeod/Methos,816
Character,Lindsay Peterson,816
Freeform,secret,816
Freeform,Conspiracy Theories,816
Freeform,Timestamp,816
Freeform,Punching,816
Character,Ulfric Stormcloak,816
Character,Reader Insert - Character,816
Character,Lauren Jauregui,816
Character,John Hart,815
Character,T'Challa,815
Character,Frosta (She-Ra),815
Fandom,Animaniacs,815
Character,Foggy Nelson,815
Freeform,Pumpkins,815
Character,Minor Original Characters - Character,815
Freeform,Epic Battles,815
Character,Kougami Shinya,815
Character,Liam Jones,815
Character,Pepper (Good Omens),815
Character,Luke,814
Freeform,Priests,814
Freeform,Goat,814
Freeform,Magical Creatures,814
Freeform,Social Issues,814
Freeform,Dramedy,814
Freeform,Lists,814
Relationship,Terezi Pyrope/Dave Strider,814
Freeform,ASL,814
Freeform,5 + 1,814
Character,more to be added,814
Freeform,I don't know what I'm doing,814
Character,Souda Kazuichi,814
Freeform,There's A Tag For That,814
Relationship,Mikasa Ackerman/Jean Kirstein,814
Character,Makishima Yuusuke,814
Freeform,Spanish,813
Relationship,Peter Parker/Mary Jane Watson,813
Character,Jessica Drew,813
Relationship,Pansy Parkinson/Harry Potter,813
Relationship,Harry Dresden/Johnny Marcone,813
Freeform,High School/College,813
Character,Slender Man,813
Character,Drift | Deadlock (Transformers),813
Relationship,Samifer,813
Freeform,Clintasha - Freeform,813
Character,Evergreen (Fairy Tail),813
Freeform,Fanwork Research & Reference Guides,813
Character,SHIELD Agents & Staff,813
Freeform,Piss kink,813
Character,Ronald Speirs,812
Character,Iceland (Hetalia: Axis Powers),812
Character,Connor (AtS),812
Freeform,Letter,812
Freeform,Infection,812
Freeform,what,812
Freeform,romcom,812
Freeform,Narcissism,812
Character,Adam Levine,812
Freeform,Teens,812
Freeform,holmescest,812
Freeform,nothing graphic,812
Freeform,Hurt Merlin,812
Character,Momochi Zabuza,811
Freeform,Rabbits,811
Character,Baby - Character,811
Freeform,Prologue,811
Freeform,Mando'a,811
Character,Mrs Granger (Harry Potter),811
Freeform,top!dean,811
Freeform,Dark Tony Stark,811
Character,Hunter Clarington,811
Character,Eugene Porter,811
Fandom,That '70s Show,810
Freeform,Outing,810
Freeform,Saving the World,810
Fandom,f(x),810
Freeform,Hate Crimes,810
Relationship,Alfred Pennyworth & Bruce Wayne,810
Freeform,Because of Reasons,810
Relationship,Joel Heyman/Ray Narvaez Jr.,810
Freeform,Post-Season/Series 06,810
Fandom,Warframe,810
Relationship,Allura/Keith (Voltron),810
Character,Yamagishi Yukako,810
Freeform,teen,809
Character,Charlie,809
Character,Black Star,809
Character,Wilson Fisk,809
Freeform,Mortality,809
Character,Kikyou (InuYasha),809
Relationship,Original Female Character & Original Male Character,809
Character,Lan Fan,809
Fandom,Lunar Chronicles - Marissa Meyer,809
Freeform,Mechanic Dean,809
Freeform,Top Liam,809
Relationship,Anna/Elsa (Frozen),809
Character,Eileen Prince,808
Freeform,Cell Phones,808
Freeform,sleepover,808
Freeform,MILFs,808
Freeform,style,808
Freeform,BAMF Merlin,808
Character,Danielle Peazer,808
Freeform,Chases,808
Relationship,Neville Longbottom/Harry Potter,807
Fandom,Political RPF,807
Freeform,Accidental Relationship,807
Freeform,Foursome - F/F/M/M,807
Relationship,Harry Potter & Ron Weasley,807
Relationship,Robb Stark/Margaery Tyrell,807
Freeform,Disney References,807
Freeform,A Favorite,807
Freeform,dildo,806
Freeform,Telepathic Sex,806
Freeform,Desert,806
Freeform,Novel Length,806
Freeform,Magical Girls,806
Character,Tomoe Mami,806
Freeform,Graphic,806
Freeform,posted,806
Relationship,erejean,806
Freeform,first person POV,805
Character,Jenny Shepard,805
Freeform,Spying,805
Freeform,bad language,805
Freeform,Tails,805
Character,Ayanami Rei,805
Character,Takeshi | Brock,805
Freeform,Mentions of Character Death,805
Character,Jack Marston,805
Freeform,Hormones,805
Character,Josh Devine,805
Fandom,Steam Powered Giraffe,805
Freeform,OT5 Friendship,805
Relationship,Gabriel/Reader,805
Relationship,Jake Peralta & Amy Santiago,805
Freeform,Naga,804
Freeform,Lipstick & Lip Gloss,804
Character,Enter,804
Character,Lee Sungjong,804
Freeform,yup,804
Freeform,Dubcon Kissing,804
Freeform,famous/non-famous,804
Freeform,dean/cas - Freeform,803
Freeform,Trauma Recovery,803
Freeform,Double Vaginal Penetration,803
Character,Kaito (Vocaloid),803
Character,Rufioh Nitram,803
Freeform,that's it that's the fic,803
Character,Kai (the GazettE),803
Character,Polly Gray,803
Freeform,modern day AU,802
Character,Xabi Alonso,802
Character,Richard Speight Jr.,802
Freeform,Hellhounds,802
Character,Envy (Fullmetal Alchemist),802
Relationship,Tori Vega/Jade West,802
Freeform,Day 3,802
Fandom,Shadowhunter Chronicles - Cassandra Clare,802
Character,Danny Concannon,801
Character,Dallas Winston,801
Character,Lancelot du Lac,801
Freeform,Teleportation,801
Freeform,Portals,801
Freeform,Overdose,801
Character,Koopa | Bowser,801
Relationship,Aang & Zuko (Avatar),801
Character,Jace Herondale,801
Freeform,Single Chapter,801
Character,Mayuzumi Chihiro,801
Relationship,Elizabeth Keen & Raymond Reddington,801
Character,Joey Fatone,800
Character,Egon Spengler,800
Character,John Allerdyce,800
Freeform,Street Racing,800
Fandom,Vampire: The Masquerade,800
Freeform,Top!Harry,800
Freeform,Common Cold,800
Freeform,Avenger family,800
Freeform,Fanfiction of Fanfiction,800
Relationship,Bilbo Baggins/Bofur,800
Freeform,what the fuck,800
Relationship,James Potter & Lily Evans Potter,800
Character,Rose,799
Character,Joseph Liebgott,799
Character,Koriand'r,799
Relationship,Matt Farrell/John McClane,799
Character,Anne of Cleves,799
Freeform,Moon,799
Character,X (Rockman),799
Freeform,stories,799
Freeform,Belts,799
Freeform,fluffy fluff fluff,799
Freeform,super short,799
Freeform,Protective Clint Barton,799
Freeform,Hair Dyeing,799
Character,Vato Falman,798
Character,Triple H,798
Freeform,French,798
Character,Jang Dongwoo,798
Freeform,OT6,798
Freeform,Erotic Electrostimulation,798
Fandom,Maleficent (2014),798
Fandom,Rent - Larson,797
Relationship,Kenny McCormick/Butters Stotch,797
Freeform,Shovel Talk,797
Relationship,Munakata Reishi/Suoh Mikoto,797
Freeform,Bisexual Dean,797
Freeform,Chinese,796
Freeform,Goddesses,796
Freeform,Zombie AU,796
Character,Cato (Hunger Games),796
Freeform,Sick Dean Winchester,796
Character,Edward Kenway,796
Freeform,Alternate Universe - Star Trek Fusion,796
Freeform,Protective Pepper Potts,796
Character,Arizona Robbins,795
Character,Jesse St. James,795
Freeform,Cocaine,795
Relationship,Matt Bellamy/Dom Howard,795
Character,Anne Bonny,795
Freeform,Gay Pride,795
Character,Jack Darby,795
Freeform,SMUTTY SMUT,795
Freeform,Lovers to Friends,795
Character,Maxwell (Don't Starve),795
Relationship,Alec Hardy/Ellie Miller,795
Character,Sumeragi Subaru,794
Character,Kira Izuru,794
Freeform,hot as fuck,794
Freeform,Leaving Home,793
Freeform,Auror Harry,793
Freeform,Tail Sex,793
Freeform,send help,793
Freeform,Wolf!Derek,793
Character,Aurora (Once Upon a Time),793
Character,Dot Pixis,793
Freeform,Genderqueer,792
Character,Marlene Wallace,792
Character,Himura Kenshin,792
Relationship,Aerith Gainsborough/Cloud Strife,792
Freeform,Mild Swearing,792
Freeform,Cupcakes,792
Freeform,dying,792
Character,Barbara Dunkelman,792
Freeform,Fucking Cute,792
Freeform,Soft sex,792
Freeform,Divergent,792
Character,Lotte Yanson,792
Character,Lee Yut-Lung,792
Character,Shaak Ti,791
Freeform,movies - Freeform,791
Freeform,Regency Romance,791
Character,Leon,791
Character,Davesprite,791
Freeform,Forest Sex,791
Fandom,destiel - Fandom,791
Freeform,roommates au,791
Character,Higashikata Josuke,791
Character,Enrico Pucci,791
Relationship,Armin Arlert/Erwin Smith,791
Freeform,soft angst,791
Freeform,Fear Play,790
Freeform,Internet,790
Freeform,Canon Backstory,790
Freeform,Resistance,790
Freeform,OR IS IT,790
Freeform,Urethral Play,790
Freeform,Top Stiles,790
Freeform,bye,790
Character,Fat Amy (Pitch Perfect),790
Freeform,Summoning,790
Character,Camila Cabello,790
Freeform,Implied/Referenced Abortion,790
Freeform,Goblins,789
Character,Doumeki Shizuka,789
Character,Slave,789
Freeform,Narnia,789
Freeform,Fic Exchange,789
Character,Walter White,789
Character,Jacques Dernier,789
Freeform,Physical Therapy,789
Freeform,Jötunn Loki,789
Fandom,Phandom,789
Character,Shirayuki (Akagami no Shirayukihime),789
Character,Will Zimmerman,788
Character,Eugene Sledge,788
Freeform,car crash,788
Freeform,Captain Swan - Freeform,788
Freeform,Shopping Malls,788
Character,Robert Lewandowski,788
Freeform,role play,787
Relationship,Draco Malfoy/Pansy Parkinson,787
Freeform,Dare,787
Character,Spades Slick,787
Freeform,Facial,787
Character,Scorpio Milo,787
Freeform,all time faves,787
Fandom,X-Men: First Class (2011) RPF,787
Freeform,Mind Palace,787
Freeform,just read it,787
Freeform,we'll see,787
Freeform,Skinny!Steve,787
Fandom,OFF (Game),787
Freeform,Single,787
Fandom,Halloween Movies - All Media Types,787
Relationship,Blake Belladonna/Weiss Schnee,787
Character,Knave of Hearts | Will Scarlet,787
Fandom,Citadel (Journalfen RPG),787
Freeform,crack!fic,786
Freeform,Breakups,786
Freeform,Conventions,786
Fandom,Magic: The Gathering,786
Relationship,Loki/Natasha Romanov,786
Character,Rami Malek,786
Freeform,soft smut,786
Relationship,Gimli/Legolas Greenleaf,786
Freeform,will read again,786
Character,Katara,785
Freeform,Novelization,785
Freeform,Plague,785
Character,Arsène Lupin III,785
Character,Ellaria Sand,785
Character,Audrey Parker,785
Freeform,Wounds,785
Character,Auguste (Captive Prince),785
Relationship,Jung Yunho/Kim Jaejoong,785
Freeform,Grim Reapers,785
Character,The Warblers,785
Freeform,on kindle,785
Freeform,Oral Knotting,785
Relationship,Castiel (Supernatural)/You,785
Relationship,Dean Winchester & You,785
Relationship,Dean Winchester/John Winchester,784
Freeform,Underworld,784
Freeform,Fame,784
Freeform,Forced Crossdressing,784
Character,Thomas Nightingale,784
Freeform,Name Calling,784
Character,Sherlock Holmes' Mother,784
Freeform,Everyone is Dead,784
Freeform,Poker,783
Character,Ganondorf,783
Freeform,Surfing,783
Freeform,April Fools' Day,783
Character,Meta Knight,783
Freeform,Business,783
Character,Adachi Tohru,783
Fandom,Blue Bloods (TV),783
Relationship,Jane Foster/Loki,783
Freeform,Alternate Universe - Age Changes,783
Freeform,Possible smut,783
Freeform,POV Natasha Romanov,783
Relationship,Natasha Romanov/Sam Wilson,783
Character,Franky Doyle,783
Freeform,Community: 1-million-words,783
Character,Chuck (Maze Runner),783
Character,OMCs,782
Character,Doran Martell,782
Freeform,Bookstores,782
Character,Orion Pax,782
Fandom,Teen Titans,781
Freeform,Five Times,781
Freeform,Pokemon Journey,781
Relationship,Beverly Crusher/Jean-Luc Picard,781
Freeform,Pete's World,781
Freeform,Pre-Hogwarts,781
Relationship,Rin/Sesshoumaru (InuYasha),781
Relationship,Batman & Superman,781
Freeform,Just Add Kittens,781
Freeform,Alternate Universe - Foster Family,781
Fandom,zombies run,781
Character,Iki Hiyori,781
Character,Sora,780
Character,Lucius Fox,780
Character,Flynn Scifo,780
Freeform,chosen family,780
Character,Specs (Newsies),780
Freeform,Christmas Music,780
Character,Nicklas Backstrom,780
Freeform,False Identity,780
Character,Artemis (Percy Jackson),780
Freeform,Thanksgiving Dinner,780
Freeform,Mention of blood,780
Character,Adam,779
Character,Rinoa Heartilly,779
Freeform,Amortentia,779
Freeform,Sex Addiction,779
Character,Grand Highblood,779
Freeform,Character(s) of Color,779
Freeform,Shrinking,779
Freeform,uhh,779
Relationship,Stan Marsh/Wendy Testaburger,779
Freeform,i guess??,779
Freeform,idk how to tag this,779
Fandom,Chris Evans - Fandom,779
Fandom,Ghost Hunt,778
Freeform,family fic,778
Freeform,Spirit Animals,778
Relationship,Sherlock Holmes/Joan Watson,778
Character,Aline Penhallow,778
Freeform,very sad,778
Relationship,Cassandra Pentaghast/Varric Tethras,778
Relationship,Kim Jongdae | Chen/Kim Joonmyun | Suho,778
Freeform,Forehead Touching,778
Freeform,episode-related,777
Freeform,Rebuilding,777
Character,Mephisto Pheles,777
Character,Warriors Three,777
Freeform,wing fic,777
Character,Adam Raki,777
Relationship,sterek - Relationship,777
Freeform,Awesome Clint Barton,777
Fandom,Baldur's Gate,776
Fandom,The Umbrella Academy,776
Freeform,Separation,776
Freeform,Hawaii Five-0,776
Relationship,Akemi Homura/Kaname Madoka,776
Fandom,Sekai-ichi Hatsukoi,776
Character,Demons (Supernatural),776
Character,Lee Pace,776
Character,Jinguuji Ren,776
Freeform,Jealous Dean Winchester,776
Character,George III of the United Kingdom,776
Freeform,JoJo's Bizarre Adventure Part 4: Diamond is Unbreakable,776
Relationship,Alice Longbottom/Frank Longbottom,775
Freeform,Sharing,775
Freeform,Catholicism,775
Freeform,Withdrawal,775
Character,Rose Wilson,775
Freeform,Turtlecest,775
Character,"Merriell ""Snafu"" Shelton",775
Relationship,Niall Horan/Original Female Character(s),775
Freeform,Psychological,774
Character,Murphy MacManus,774
Freeform,17k,774
Freeform,Pandemics,774
Freeform,Uncle-Nephew Relationship,774
Freeform,ULTIMATE FAVORITE,774
Character,George Luz,773
Character,Santa Claus,773
Freeform,De-Aged,773
Fandom,30 Seconds to Mars,773
Freeform,Big Brother Dean,773
Freeform,HS,773
Relationship,Danny Castellano/Mindy Lahiri,773
Freeform,Not Bad,773
Freeform,Team Fluff,773
Character,Ren Hakuryuu,773
Freeform,ass eating,773
Freeform,Zoo,772
Relationship,RoyAi,772
Freeform,Adolescent Sexuality,772
Freeform,yes good,772
Freeform,Underage Masturbation,772
Freeform,Omega/Omega,772
Character,Original Dwarf Character(s),772
Freeform,ваншот,772
Freeform,Top Hannibal Lecter,772
Freeform,Polyfidelity,771
Freeform,spells,771
Character,Paul Lahote,771
Character,Shima Renzou,771
Freeform,SO SO GOOD,771
Character,Terry Milkovich,771
Freeform,Caryl,771
Freeform,Natasha Is a Good Bro,771
Character,Davina Claire,771
Freeform,shower,770
Character,Pam Beesly,770
Freeform,it's complicated - Freeform,770
Freeform,Talking To Dead People,770
Freeform,Ten Years Later,770
Freeform,Throne Sex,770
Freeform,lots of smut,770
Relationship,Mario Götze/Marco Reus,770
Relationship,Oh Sehun/Park Chanyeol,770
Freeform,мило,770
Freeform,Space Battles,769
Relationship,Peter Parker/Gwen Stacy,769
Relationship,Ginny Weasley/Blaise Zabini,769
Freeform,Collar,769
Freeform,Steve Rogers is Not a Virgin,769
Freeform,f/f - Freeform,768
Relationship,Josh Lyman/Sam Seaborn,768
Character,Michael Westen,768
Relationship,Jacob Black/Bella Swan,768
Freeform,Community: fanfic100,768
Freeform,Long Distance Relationship,768
Fandom,Dresden Files - Jim Butcher,768
Fandom,Tron (Movies),768
Freeform,merfolk,768
Freeform,Pokemon AU,768
Freeform,Truth Spells,768
Freeform,Deputy Derek Hale,768
Character,Male My Unit | Avatar,768
Freeform,Comedy of Errors,767
Character,Narrator,767
Character,Haldir,767
Character,Barbara Maitland,767
Character,Hound (Transformers),767
Character,Brainstorm (Transformers),767
Freeform,cute fic,767
Relationship,Jon Snow & Arya Stark,767
Character,Tsukumo Yuuma,767
Freeform,Dom Castiel,767
Freeform,Pre-Avengers (2012),767
Fandom,Aladdin (1992),766
Character,Nakatsukasa Tsubaki,766
Character,James,766
Freeform,Part 2,766
Freeform,Lemons,766
Character,Gilly (ASoIaF),766
Freeform,Bottom!Cas,766
Freeform,First Impressions,766
Fandom,Highlander - All Media Types,766
Freeform,mentions of bullying,766
Character,Endverse Castiel,766
Freeform,Post-Season/Series 05 Finale,766
Freeform,Post-Thor: The Dark World,766
Character,David Tennant,765
Fandom,Sengoku Basara,765
Freeform,Implied Relationship,765
Freeform,Service Submission,765
Character,Dojima Ryotaro,765
Character,Red Alert (Transformers),765
Fandom,Tron: Legacy (2010),765
Relationship,Female Hawke/Varric Tethras,765
Relationship,Steggy,765
Relationship,Bilbo Baggins & Thorin Oakenshield,765
Relationship,SpideyTorch,765
Relationship,Bedelia Du Maurier/Hannibal Lecter,765
Freeform,Implied/Referenced Mind Control,765
Relationship,Jonathan Archer/Malcolm Reed,764
Character,Richard B. Riddick,764
Character,Sigyn,764
Freeform,Journey,764
Freeform,Bakery AU,764
Freeform,shiny,764
Freeform,Pretty good,764
Freeform,ave,764
Freeform,Fanfic rec,764
Relationship,Liam Payne/Sophia Smith,764
Character,Wolverine,763
Character,Thomas Sullivan Magnum IV,763
Freeform,Alternate Universe - Thieves,763
Fandom,Fate/stay night (Visual Novel),763
